Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
Caramel Tea Frappe,Ice,Regular,Regular,16 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,Regular,Large,22 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),22 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,Less,Small,12 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,Less,Regular,16 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,Less,Large,22 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),22 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,No,Small,12 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,No,Regular,16 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
Caramel Tea Frappe,Ice,No,Large,22 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),22 oz Caramel Tea Frappe (extracted Roasted Oolong)
Roasted Oolong Lemon Tea,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Roasted Oolong Lemon Tea,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Roasted Oolong Lemon Tea,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Roasted Oolong Lemon Tea,Ice,Regular,Small,12 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,Regular,Regular,16 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,Regular,Large,22 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,Less,Small,12 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,Less,Regular,16 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,Less,Large,22 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,No,Small,12 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
